Quantity,Description,VALUE,Footprint,Designator,DNP,FUNCTION,MFT,MPN,RATING,Manufacturer,Manufacturer Part Number,LOAD,Resistance (Ohms),ALT MFT,ALT MFT1,ALT MFT2,ALT MPN,ALT MPN1,ALT MPN2,ALT_MPN1,TYPE
"1","CAP CER 1.8PF 50V C0G/NP0 0402","1.8pF","CAPC1005X55N","C25","","JN5169 MOD","Murata","GRM1555C1H1R8CA01D","50V","","","","","","","","","","","","SMD"
"1","CAP CER 10UF 16V X7R 1206","10µF","C1206","C26","","GPS","Murata Electronics North America","GRM31CR71C106KAC7L","16V","","","","","","","","","","","","SMD"
"1","CAP CER 0.1UF 50V X7R 0402","0.10µF","C0402","C27","","GPS","Murata Electronics North America","GRM155R71H104ME14D","50V","","","","","","","","","","","","SMD"
"3","CAP CER 0.22UF 50V X7R 0603","0.22µF","C0603","C28, C601, C603","","ANALOG IN","Murata Electronics North America","GCM188R71H224KA64D","50V","","","","","","","","","","","","Surface Mount, MLCC"
"1","CAP CER 22UF 16V X5R 0805","22µF","C0805","C29","","PWR SUPPLY","Murata Electronics North America","GRM21BR61C226ME44L","16V","","","","","","","","","","","","SMD"
"3","CAP CER 1.2PF 50V C0G/NP0 0402","1.2pF","CAPC1005X55N","C30, C31, C45","","JN5169 MOD","Murata","GRM1555C1H1R2CA01D","50V","","","","","","","","","","","","SMD"
"2","CAP CER 12PF 50V C0G/NP0 0402","12pF","CAPC1005X55N","C33, C40","","JN5169 MOD","Murata","GRM1555C1H120JA01D","50V","","","","","","","","","","","","SMD"
"5","CAP CER 0.1UF 50V X7R 0402","0.10µF","C0402","C34, C35, C36, C37, C38","","I2C DEV","Murata Electronics North America","GRM155R71H104ME14D","50V","","","","","","","","","","","","SMD"
"1","CAP CER 1PF 50V C0G/NP0 0402","1pF","CAPC1005X55N","C41","","JN5169 MOD","Murata","GRM1555C1H1R0CA01D","50V","","","","","","","","","","","","SMD"
"2","CAP CER 10PF 50V 5% NP0 0402","10pF","C0402","C43, C44","","JN5169 MOD","Murata Electronics North America","GRM1555C1H100JA01D","50V","","","","","","","","","","","","Surface Mount"
"1","CAP FILM 0.1UF 20% 560VDC RADIAL","0.1µF","R46KF310000P1M","C101","DNP","TOP","Kemet","R46KF310000P1M","560VDC","","","","","","","","","","","","Through Hole"
"1","CAP CER 0.47UF 16V X7R 0603","0.47µF","C0603","C104","","ANALOG OUT","Murata Electronics North America","GRM188R71C474KA88D","16V","","","","","","","","","","","","SMD"
"1","CAP CER 10UF 16V X7R 1206","10µF","C1206","C202","","JN5169 TOPBLK","Murata Electronics North America","GRM31CR71C106KAC7L","16V","","","","","","","","","","","","SMD"
"2","CAP CER 0.1UF 50V X7R 0402","0.10µF","C0402","C203, C209","","JN5169 TOPBLK","Murata Electronics North America","GRM155R71H104ME14D","50V","","","","","","","","","","","","SMD"
"1","CAP CER 10UF 16V X7R 1206","10µF","C1206","C404","","PWR SUPPLY","Murata Electronics North America","GRM31CR71C106KAC7L","16V","","","","","","","","","","","","SMD"
"1","CAP CER 22UF 16V X5R 0805","22µF","C0805","C405","DNP","PWR SUPPLY","Murata Electronics North America","GRM21BR61C226ME44L","16V","","","","","","","","","","","","SMD"
"1","CAP CER 0.1UF 50V X7R 0402","0.10µF","C0402","C406","","PWR SUPPLY","Murata Electronics North America","GRM155R71H104ME14D","50V","","","","","","","","","","","","SMD"
"1","CAP CER 0.1UF 50V X7R 0402","0.10µF","C0402","C701","","RELAY","Murata Electronics North America","GRM155R71H104ME14D","50V","","","","","","","","","","","","SMD"
"1","DIODE ZENER 10V 200MW SOD323","MMSZ5240BS-7-F","SOD-323","D1","","PWR SUPPLY","Diodes Incorporated","MMSZ5240BS-7-F","10V","","","","","","Bytesonic","","","BZT52C10S","","","SMD"
"1","LED GREEN CLEAR 0402 SMD","Green","LED0402(GREEN)","D2","","TOP","SunLED","XZVGR68W-3","","","","","","","","","","","","","SMD"
"2","LED RED 0402 SMD","Red","LED0402(RED)","D8, D9","","GPS","Vishay Semiconductor Opto Division","VLMS1500-GS08","","","","DNP","","","Y.Lin Elect.","","","YLS0402/R/21/05 C","","","SMD"
"1","TVS DIODE 33VWM 53.3VC SMB","SMBJ33A-TP","DO-214AA, SMB","D13","","ANALOG IN","Micro Commercial Co","SMBJ33A-TP","33V","","","","","","","","","","","","Surface Mount"
"1","LED RED 0402 SMD","Red","LED0402(RED)","D14","","TOP","Vishay Semiconductor Opto Division","VLMS1500-GS08","","","","","","","Y.Lin Elect.","","","YLS0402/R/21/05 C","","","SMD"
"1","LED BLUE 0402 SMD","Blue","LED0402(BLUE)","D101","","TOP","Vishay Semiconductor Opto Division","VLMB1500-GS08","","","","","","","Y.Lin Elect","","","YLS0402/B/21/05 C","","","SMD"
"1","TVS Diodes - Transient Voltage Suppressors 22Vr 400W 11.3A 5% BiDirectional","SMAJ22CA","DO-214AC","D801","","ANALOG OUT","Littelfuse","SMAJ22CA","22 V","","","","","Bytesonic","","","SMAJ22CA","","","","SMD/SMT"
"1","DIODE SCHOTTKY 20V 0.5A SOD123","MBR0520L","SOD123","D901","","RELAY","ON Semiconductor","MBR0520L","20V 500MA","","","","","","Bytesonic","","","B0520W","","","SMD"
"1","FUSE BOARD MOUNT 5A 250VAC RAD","5A","SS-5-5A-AP","F101","","TOP","Eaton Bussmann","SS-5-5A-AP","","","","","","","","","","","","","Through-Hole"
"1","RF Connectors / Coaxial Connectors SMT MALE RECEPT AU","U.FL-R-SMT-1(80)","HIROSE_U.FL-R-SMT","J1","","JN5169 MOD","Hirose","U.FL-R-SMT-1(80)","","","","","","","","","","","","","SMD"
"1","CONN HEADR BRKWAY .100 3POS STR","5-146280-3","5-146280-3","J2","DNP","TOP","TE Connectivity AMP Connectors","5-146280-3","","","","","","","","","","","","","TH"
"1","CONN HEADER VERT .100 16POS 15AU","87227-8","87227-8","J3","DNP","TOP","TE Connectivity AMP Connectors","87227-8","","","","","","","","","","","","","SMD"
"1","","","0603 Jumper","J4","","JN5169 TOPBLK","","","","","","","","","","","","","","",""
"1","","","JN516X PINOUT","Jennic pinout","","JN5169 MOD","","","","","","","","","","","","","","",""
"1","General Purpose Relays 16A 12VDC SPDT CLASS B","ALZ12B12","ALZ12B12 (custom)","K901","","RELAY","Panasonic Industrial Devices","ALZ12B12","","","","","","","TE connectivity","Hongfa","","RZ03-1C4-D012","HF115F/012-1ZS3A","","Through Hole"
"1","FIXED IND 3NH 190MA 400 MOHM SMD","3nH","INDC1005X45N","L3","","JN5169 MOD","Murata","LQP15MN3N0B02D","","","","","","","","","","","","","SMD"
"1","FIXED IND 4.3NH 160MA 600 MOHM","4.3nH","INDC1005X45N","L4","","JN5169 MOD","Murata","LQP15MN4N3B02D","","","","","","","","","","","","",""
"1","Inductor RF Chip ThFIXED IND 5.1NH 140MA 700 MOHM","5.1nH","INDC1005X45N","L5","","JN5169 MOD","Murata","LQP15MN5N1B02D","","","","","","","","","","","","","SMD"
"1","FIXED IND 2.7NH 220MA 300 MOHM","2.7nH","INDC1005X45N","L6","","JN5169 MOD","Murata","LQP15MN2N7B02D","","","","","","","","","","","","","SMD"
"1","FERRITE CHIP 120 OHM 0805","120 Ohm","0805 INDUCTOR","L201","","JN5169 TOPBLK","Murata Electronics North America","BLM21PG121SN1D","3A","","","","","","","","","","","","Surface Mount"
"1","FIXED IND 2.2UH 1.5A 72 MOHM SMD","2.2uH","NR3015","L401","","PWR SUPPLY","Taiyo Yuden","NR3015T2R2M","","","","","","","","","","","","","Surface Mount"
"1","","2213730-1","LIGHTCTRL_2213730-1_2213730-1(Primary)","P100","","TOP","TE Connectivity","2213730-1","","","","","","","","","","","","","TH"
"1","TRANS 2PNP 15V 0.5A SOT666","PBSS3515VS,115","SOT50P160X60-6N","Q1","","SWITCH","Nexperia USA Inc.","PBSS3515VS,115","15V","","","","","","","","","","","","SMD"
"1","IC INDCT LOAD DRVR AUTO SOT23","NUD3124LT1G","SOT-23-3","Q2","","SWITCH","ON Semiconductor","NUD3124LT1G","","","","","","","","","","","","","Surface Mount"
"1","IC INDCT LOAD DRVR AUTO SOT23","NUD3124LT1G","SOT-23-3","Q4","","RELAY","ON Semiconductor","NUD3124LT1G","","","","","","","","","","","","","Surface Mount"
"3","RES 1K OHM 1% 1/8W 0402","1k","R0402","R1, R50, R105","","TOP","YAGEO","RC0402FR-7W1KL","1/8W","","","","","","","","","","","","SMD"
"4","RES SMD 3.3K OHM 1% 1/16W 0402","3.3k","R0402","R2, R4, R25, R277","","eMETER","YAGEO","RC0402FR-073K3P","1/16W","","","","","","","","","","","","SMD"
"1","RES SMD 4.7K OHM 1% 1/16W 0402","4.7k","R0402","R3","","eMETER","YAGEO","RC0402FR-074K7P","1/16W","","","","","","","","","","","","SMD"
"1","RES 1K OHM 1% 1/8W 0402","1k","R0402","R5","","SWITCH","YAGEO","RC0402FR-7W1KL","1/8W","","","","","","","","","","","","SMD"
"1","RES SMD 0.0 OHM JUMPER 1/8W 0805","0.0","R0805","R6","","PWR SUPPLY","Yageo","RC0805JR-070RL","1/8W","","","","","","","","","","","","Surface Mount"
"1","RES 3 OHM 1% 1/16W 0402","3","R0402","R7","","SWITCH","YAGEO","RC0402FR-073RL","1/16W","","","","","","","","","","","","SMD"
"1","RES SMD 47K OHM 5% 1/16W 0402","47k","R0402","R8","","SWITCH","Yageo","RC0402JR-0747KL","1/16W","","","","","","","","","","","","SMD"
"3","RES 0 OHM JUMPER 1/10W 0603","0","R0603","R9, R10, R30","","TOP","YAGEO","RC0603FR-070RL","","","","","","","","","","","","","SMD"
"1","RES SMD 43K OHM 1% 1/16W 0402","43k","RESC1005X40N","R11","","JN5169 MOD","Yageo","RC0402FR-0743KL","1/16W","","","","","","","","","","","","SMD"
"3","RES 750 OHM 1% 1/10W 0603","750","R0603","R12, R16, R18","","eMETER","YAGEO","RC0603FR-07750RL","1/10W","","","","","","","","","","","","SMD"
"1","RES 0.004 OHM 1% 3W 2512","0.004","R2512","R13","","eMETER","YAGEO","PA2512FKE7T0R004E","3W","","","","","","","","","","","","SMD"
"1","RES SMD 47K OHM 1% 1/16W 0402","47k","R0402","R14","","JN5169 MOD","Yageo","RC0402FR-0747KL","1/16W","","","","","","","","","","","","SMD"
"2","RES 0 OHM JUMPER 1/10W 0603","0","R0603","R15, R17","","eMETER","YAGEO","RC0603FR-070RL","","","","","","","","","","","","","SMD"
"1","RES 0 OHM JUMPER 1/16W 0402","0","R0402","R19","","JN5169 TOPBLK","YAGEO","RC0402FR-070RL","","","","","","","","","","","","","SMD"
"1","RES SMD 1.5K OHM 1% 1/16W 0402","1.5k","RESC1005X40N","R20","","JN5169 MOD","Yageo","RC0402FR-071K5L","1% 1/16W","","","","","","","","","","","","SMD"
"1","RES SMD 1.2K OHM 1% 1/16W 0402","1.2k","RESC1005X40N","R21","","JN5169 MOD","Yageo","RC0402FR-071K2L","1/16W","","","","","","","","","","","","SMD"
"1","RES 0 OHM JUMPER 1/10W 0603","0","R0603","R24","","GPS","YAGEO","RC0603FR-070RL","","","","","","","","","","","","","SMD"
"2","RES 820K OHM 1% 1/4W 1206","820k","R1206","R26, R27","","eMETER","YAGEO","RC1206FR-07820KL","1/4W","","","","","","","","","","","","SMD"
"1","RES 330K OHM 1% 1/4W 1206","330k","R1206","R28","","eMETER","YAGEO","RC1206FR-07330KL","1/4W","","","","","","","","","","","","SMD"
"2","RES 10K OHM 1% 1/10W 0603","10k","R0603","R29, R56","","PWR SUPPLY","YAGEO","AC0603FR-1010KL","1/10W","","","","","","","","","","","","SMD"
"2","RES SMD 1.2K OHM 1% 1/16W 0402","1.2k","RESC1005X40N","R31, R32","","eMETER","Yageo","RC0402FR-071K2L","1/16W","","","","","","","","","","","","SMD"
"3","RES SMD 330 OHM 1% 1/16W 0402","330","R0402","R33, R36, R37","","eMETER","Yageo","RC0402FR-07330RL","1/16W","","","","","","","","","","","","SMD"
"3","RES SMD 330 OHM 1% 1/16W 0402","330","R0402","R41, R54, R55","","I2C DEV","Yageo","RC0402FR-07330RL","1/16W","","","","","","","","","","","","SMD"
"4","RES 1K OHM 1% 1/8W 0402","1k","R0402","R44, R51, R52, R53","","I2C DEV","YAGEO","RC0402FR-7W1KL","1/8W","","","","","","","","","","","","SMD"
"2","RES 1K OHM 1% 1/8W 0402","1k","R0402","R46, R47","","GPS","YAGEO","RC0402FR-7W1KL","1/8W","","","DNP","","","","","","","","","SMD"
"2","RES SMD 24K OHM 0.1% 1/10W 0603","24k","R0603","R48, R605","","ANALOG IN","YAGEO","RT0603BRD0724KL","1/10W","","","","","","","","","","","","SMD"
"3","RES SMD 5.6K OHM 1% 1/10W 0603","5.6k","R0603","R49, R602, R606","","ANALOG IN","YAGEO","AC0603FR-075K6L","1/10W 0603","","","","","","","","","","","","SMD"
"1","RES 100 OHM 5% 1/4W 1206","100","R1206","R57","","eMETER","YAGEO","RC1206JR-07100RL","1/4W","","","","","","","","","","","","SMD"
"1","RES SMD 10K OHM 1% 1/16W 0402","10k","R0402","R108","","ANALOG OUT","YAGEO","AC0402FR-0710KL","1/16W","","","","","","","","","","","","SMD"
"1","RES SMD 4.7K OHM 1% 1/16W 0402","4.7k","R0402","R201","","JN5169 TOPBLK","YAGEO","RC0402FR-074K7P","1/16W","","","","","","","","","","","","SMD"
"1","RES 100 KOHM 1% 1/8W 0402","100k","R0402","R401","","PWR SUPPLY","YAGEO","AC0402FR-7W100KL","1/8W","","","","","","","","","","","","SMD"
"1","RES SMD 68K OHM 0.1% 1/10W 0603","68k","R0603","R601","","ANALOG IN","YAGEO","RT0603BRE0768KL","1/10W","","","","","","","","","","","","SMD"
"1","RES 1K OHM 1% 1/8W 0402","1k","R0402","R801","","ANALOG OUT","YAGEO","RC0402FR-7W1KL","1/8W","","","","","","","","","","","","SMD"
"1","RES 2.2K OHM 1% 1/10W 0603","2.2k","R0603","R802","","ANALOG OUT","YAGEO","RC0603FR-072K2L","1/10W","","","","","","","","","","","","SMD"
"1","RES SMD 1 OHM 1% 1/16W 0402","1","R0402","R806","","ANALOG OUT","YAGEO","AC0402FR-071RL","1/16W","","","","","","","","","","","","SMD"
"1","RES SMD 3.3K OHM 1% 1/16W 0402","3.3k","R0402","R1777","","RELAY","YAGEO","RC0402FR-073K3P","1/16W","","","","","","","","","","","","SMD"
"1","Shield","42-100017-01","42-100017-01(Shield)","SH1","","JN5169 MOD","TSC","42-100017-01","","","","","","","","","","","","","SMD"
"3","OPTOISOLATR 5KV TRANSISTOR 4-SOP","TCLT1003","SOP-4L","U1, U9, U10","","eMETER","Vishay Semiconductor Opto Division","TCLT1003","5KV","","","","","","LITEON","","","LTV1003-TP-V-G","","","SMD"
"1","IC OPAMP GP 1 CIRCUIT SOT25","AS321KTR-G1","SOT-23-5","U2","","ANALOG OUT","Diodes Incorporated","AS321KTR-G1","","","","","","","","","","","","","SMD"
"2","IC GATE OR 1CH 2-INP 5TSSOP","74AHC1G32GW,125","SOT65P210X110-5N","U3, U11","","JN5169 MOD","Nexperia","74AHC1G32GW,125","","","","","","","","","","","","","SMD"
"1","IC RF FRONT END MOD 2.4GHZ 24QFN","SE2431L-R","QFN40P300X400X90-25N-D","U4","","JN5169 MOD","Skyworks","SE2431L-R","","","","","","","","","","","","","SMD"
"1","IC RF TXRX+MCU 802.15.4 40-VFQFN","JN5169/001Z","QFN50P600X600X100-41N","U5","","JN5169 MOD","NXP Semiconductors","JN5169/001Z","","","","","","","","","","","","","SMD"
"1","IC ENERGY MEASURMENT 1PH 24TQFN","","QFN-24 (4X4mm)","U6","","eMETER","","","","Maxim Integrated","78M6610+PSU/B00","","","","","","","","","",""
"1","ACCELEROMETER 2-8G I2C/SPI 12LGA","KX122-1037","KX122-1037","U7","","I2C DEV","Kionix Inc.","KX122-1037","","","","","","","","","","","","","SMD"
"1","A-GPS receiver, with built-in Antenna","SIM33ELA","SIM33ELA","U12","","GPS","SIMCom","SIM33ELA","","","","","","","Quectel","","","","","L96",""
"1","Isolated DC/DC Converters 1W 3.3Vin 3.3Vout 333mA SM","NXJ1S0303MC-R7","NXJ1S0303MC-R7","U13","","eMETER","Murata Power Solutions","NXJ1S0303MC-R7","","","","","","","Murata Power Solutions Inc.","Mornsun","","NXE1S0303MC-R7","F0303XT-1WR2","","SMD/SMT"
"1","IC AUTHENTICATION CHIP 8TSSOP","ATSHA204A-XHDA-T","TSSOP-8 (wide Body)","U14","","I2C DEV","Microchip Technology","ATSHA204A-XHDA-T","","","","","","","","","","","","","SMD"
"1","IC SENSOR AMBIENT LIGHT 6CHIPLED","APDS-9300-020","APDS-9300-020","U15","","I2C DEV","Broadcom Limited","APDS-9300-020","","","","","","","","","","","","","SMD"
"1","IC EEPROM 32KBIT 400KHZ 8TSSOP","M24C32-DFDW6TP","8-TSSOP","U16","","I2C DEV","STMicroelectronics","M24C32-DFDW6TP","","","","","","","","","","","","","SMD"
"1","IC REG BUCK 3.3V 0.5A SYNC 8WSON","TPS62172DSGT","WSON8","U402","","PWR SUPPLY","TEXAS INSTRUMENTS","TPS62172DSGT","","","","","","","","","","","","","SMD"
"1","AC/DC Power Modules 85-305Vac 12Vout 250mA 3W PCM mnt","IRM-03-12","IRM-03-12","U403","","PWR SUPPLY","Mean Well","IRM-03-12","","","","","","","","","","","","",""
"1","VARISTOR 470V 10KA DISC 20MM","S20K300E2","S20K300E2","V101","","TOP","EPCOS (TDK)","S20K300E2","470V 10KA","","","","","","Fenghua","","","SVR20D471KA99BH","","","SMD"
"1","VARISTOR 470V 6KA DISC 14MM","S14K300E2K1","S14K300E2K1","V901","","RELAY","EPCOS (TDK)","S14K300E2K1","470V","","","","","","Fenghua Hi Tech","","","SVR14D471KA78BH","","","TH"
"1","CRYSTAL 20.000 MHZ 18PF SMT","","ABLS7M (crystal)","X2","DNP","eMETER","","","","Abracon LLC","ABLS7M-20.000MHZ-B-2-T","","","","","","","","","","MHz Crystal"
"1","CRYSTAL 32.0000MHZ 9PF SMD","32MHz","OSCCC320X250X80L75X100N","Y2","","JN5169 MOD","Abracon","ABM8-32.000MHZ-9-D1G-T","","","","","","","","","","","","","SMD"
